id,owner,name
11730342,vuejs,vue
10270250,facebook,react
2126244,twbs,bootstrap
41881900,microsoft,vscode
29028775,facebook,react-native
1039520,ytdl-org,youtube-dl
9384267,electron,electron
63537249,facebook,create-react-app
23088740,axios,axios
100060912,microsoft,terminal
24195339,angular,angular
90796663,puppeteer,puppeteer
51117837,tensorflow,models
20929025,microsoft,TypeScript
576201,mrdoob,three.js
70107786,vercel,next.js
460078,angular,angular.js
3678731,webpack,webpack
4164482,django,django
36535156,reduxjs,redux
44838949,swiftlang,swift
167174,jquery,jquery
596892,pallets,flask
507775,elastic,elasticsearch
6296790,spring-projects,spring-boot
557980,socketio,socket.io
5108051,opencv,opencv
8843683,chartjs,Chart.js
10744183,netdata,netdata
184456251,microsoft,PowerToys
486550,h5bp,html5-boilerplate
36040894,gatsbyjs,gatsby
9309093,Semantic-Org,Semantic-UI
3638964,ansible,ansible
65600975,pytorch,pytorch
9185792,apache,echarts
74293321,sveltejs,svelte
843222,scikit-learn,scikit-learn
7508411,ReactiveX,RxJava
12256376,ionic-team,ionic-framework
3214406,meteor,meteor
155220641,huggingface,transformers
172953845,coder,code-server
20300177,google,guava
15111821,grafana,grafana
49970642,yarnpkg,yarn
75104123,prettier,prettier
34302698,serverless,serverless
24560307,babel,babel
23974149,Dogfalo,materialize
99598595,parcel-bundler,parcel
892275,square,retrofit
15634981,godotengine,godot
81598961,python,cpython
9852918,TryGhost,Ghost
36502,git,git
39464018,apache,superset
62367558,vercel,hyper
22458259,Alamofire,Alamofire
4710920,apache,dubbo
80945428,nestjs,nest
26066727,mermaid-js,mermaid
15062869,jestjs,jest
10187082,Unitech,pm2
43441403,strapi,strapi
71995937,nuxt,nuxt
1828795,AFNetworking,AFNetworking
19148949,PhilJay,MPAndroidChart
5923215,hexojs,hexo
7741856,pixijs,pixijs
6093316,DefinitelyTyped,DefinitelyTyped
12972263,alvarotrigo,fullPage.js
32689863,3b1b,manim
667006,videojs,video.js
11267509,bumptech,glide
42751014,zenorocha,clipboard.js
35866694,RocketChat,Rocket.Chat
67962648,vuetifyjs,vuetify
27729880,grpc,grpc
9393759,phaserjs,phaser
71948498,localstack,localstack
858127,pandas-dev,pandas
22067521,ocornut,imgui
31629751,cypress-io,cypress
26516210,certbot,certbot
48626335,vuejs,vue-cli
873328,getsentry,sentry
30969188,react-boilerplate,react-boilerplate
47394776,lerna,lerna
94498635,carbon-app,carbon
76838017,iina,iina
3721224,nolimits4web,swiper
1064563,netty,netty
8859474,skylot,jadx
162279822,agalwood,Motrix
1283503,request,request
3620194,select2,select2
49609581,PowerShell,PowerShell
6452529,rethinkdb,rethinkdb
2096579,markedjs,marked
50447720,kodecocodes,swift-algorithm-club
36891867,angular,angular-cli
32247847,ReactiveX,rxjs
32578467,ChartsOrg,Charts
53127403,apolloconfig,apollo
790359,sequelize,sequelize
220809393,Textualize,rich
57222302,openai,gym
313419,SDWebImage,SDWebImage
32215970,mobxjs,mobx
52773157,typeorm,typeorm
11171548,nlohmann,json
2056312,niklasvh,html2canvas
1028340,ajaxorg,ace
74627617,commaai,openpilot
4037197,ycm-core,YouCompleteMe
597879,Automattic,mongoose
59652928,akveo,ngx-admin
1254497,codemirror,codemirror5
135786093,typescript-cheatsheets,react
15045751,docker,compose
94911145,facebook,docusaurus
3757512,balderdashy,sails
53370988,GoogleChrome,lighthouse
